SpectraSuite Data File			
++++++++++++++++++++++++++++++++++++			
Date: Wed Mar 11 14:48:38 CET 2026			
User: User			
Dark Spectrum Present: No			
Reference Spectrum Present: No			
Number of Sampled Component Spectra: 1			
Spectrometers: USB2G10323			
Integration Time (usec): 20000 (USB2G10323)			
Spectra Averaged: 1 (USB2G10323)			
Boxcar Smoothing: 0 (USB2G10323)			
Correct for Electrical Dark: No (USB2G10323)			
Strobe/Lamp Enabled: No (USB2G10323)			
Correct for Detector Non-linearity: No (USB2G10323)			
Correct for Stray Light: No (USB2G10323)			
Number of Pixels in Processed Spectrum: 2048			
>>>>>Begin Processed Spectral Data<<<<<			
592,79	2438	3070	1535
593,14	2459	3054	1527
593,49	2473	3046	1523
593,84	2477	3050	1525
594,19	2470	3037	1518,5
594,54	2465	3008	1504
594,89	2496	2999	1499,5
595,24	2434	3000	1500
595,59	2490	3010	1505
595,94	2481	2996	1498
596,3	2535	3006	1503
596,65	2496	2957	1478,5
597	2480	2938	1469
597,35	2509	2890	1445
597,7	2520	2889	1444,5
598,05	2543	2878	1439
598,4	2569	2869	1434,5
598,75	2538	2818	1409
599,1	2539	2806	1403
599,45	2511	2764	1382
599,8	2514	2744	1372
600,15	2522	2697	1348,5
600,5	2454	2652	1326
600,85	2475	2631	1315,5
601,2	2489	2593	1296,5
601,54	2508	2573	1286,5
601,89	2509	2517	1258,5
602,24	2502	2496	1248
602,59	2466	2433	1216,5
602,94	2504	2401	1200,5
603,29	2521	2371	1185,5
603,64	2523	2345	1172,5
603,99	2531	2322	1161
604,34	2504	2273	1136,5
604,69	2524	2230	1115
605,04	2523	2218	1109
605,39	2510	2187	1093,5
605,74	2546	2161	1080,5
606,09	2515	2108	1054
606,44	2518	2120	1060
606,78	2494	2046	1023
607,13	2478	2016	1008
607,48	2494	2014	1007
607,83	2510	1980	990
608,18	2480	1962	981
608,53	2502	1936	968
608,88	2527	1942	971
609,23	2502	1904	952
609,57	2478	1865	932,5
609,92	2462	1876	938
610,27	2495	1861	930,5
610,62	2492	1860	930
610,97	2505	1839	919,5
611,32	2467	1797	898,5
611,67	2478	1847	923,5
612,01	2523	1823	911,5
612,36	2478	1825	912,5
612,71	2461	1794	897
613,06	2427	1811	905,5
613,41	2431	1763	881,5
613,75	2426	1805	902,5
614,1	2381	1763	881,5
614,45	2418	1794	897
614,8	2420	1797	898,5
615,15	2427	1774	887
615,49	2382	1803	901,5
615,84	2341	1773	886,5
616,19	2387	1792	896
616,54	2361	1804	902
616,89	2351	1796	898
617,23	2319	1800	900
617,58	2323	1829	914,5
617,93	2293	1807	903,5
618,28	2294	1814	907
618,62	2285	1807	903,5
618,97	2242	1819	909,5
619,32	2239	1847	923,5
619,67	2289	1864	932
620,01	2226	1850	925
620,36	2224	1880	940
620,71	2215	1865	932,5
621,05	2189	1879	939,5
621,4	2205	1905	952,5
621,75	2195	1897	948,5
622,1	2187	1898	949
622,44	2208	1937	968,5
622,79	2163	1954	977
623,14	2164	1940	970
623,48	2151	1959	979,5
623,83	2150	1971	985,5
624,18	2147	1982	991
624,52	2155	1983	991,5
624,87	2126	1972	986
625,22	2124	1969	984,5
625,56	2105	1985	992,5
625,91	2103	2023	1011,5
626,26	2065	2010	1005
626,6	2065	2011	1005,5
626,95	2013	1984	992
627,3	2024	2035	1017,5
627,64	2033	2025	1012,5
627,99	2040	2045	1022,5
628,33	2003	2000	1000
628,68	2013	2009	1004,5
629,03	1975	1996	998
629,37	1998	1996	998
629,72	1939	1964	982
630,07	1935	1980	990
630,41	1964	1982	991
630,76	1952	1985	992,5
631,1	1919	1961	980,5
631,45	1921	1952	976
631,79	1899	1940	970
632,14	1890	1937	968,5
632,49	1881	1915	957,5
632,83	1862	1885	942,5
633,18	1822	1891	945,5
633,52	1836	1878	939
633,87	1834	1887	943,5
634,21	1824	1845	922,5
634,56	1785	1835	917,5
634,9	1764	1826	913
635,25	1757	1809	904,5
635,6	1735	1775	887,5
635,94	1713	1771	885,5
636,29	1731	1753	876,5
636,63	1710	1735	867,5
636,98	1710	1720	860
637,32	1733	1709	854,5
637,67	1707	1694	847
638,01	1656	1662	831
638,36	1665	1627	813,5
638,7	1644	1609	804,5
639,05	1625	1600	800
639,39	1643	1591	795,5
639,73	1626	1585	792,5
640,08	1627	1549	774,5
640,42	1604	1564	782
640,77	1580	1541	770,5
641,11	1591	1519	759,5
641,46	1584	1469	734,5
641,8	1549	1461	730,5
642,15	1518	1449	724,5
642,49	1525	1446	723
642,84	1518	1405	702,5
643,18	1503	1393	696,5
643,52	1499	1397	698,5
643,87	1506	1374	687
644,21	1503	1358	679
644,56	1486	1347	673,5
